ID,State,County,Region,BaySegment,Name,SubName,OtherName,cpntLongitude,cpntLatitude,YatesBar,AREA_AC,AREA_SQM,NOAACode,NOAAName,SiteType,DzKeyBar,SpatKeyBar,ReportRegion
BARBA0,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,BIG ANNEMESSEX,,,-75.838512,38.055882,Y,1220.25,4938195,005,BIG ANNEMESSEX RIVER,,,,BIG ANNEMESSEX RIVER
BARBA1,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,BIG ANNEMESSEX ADD 1,ADDITION 1,,-75.852561,38.044582,,391.48,1584249,005,BIG ANNEMESSEX RIVER,,,,BIG ANNEMESSEX RIVER
BARCC0,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,CRANE COVE,,,-75.806269,38.060092,,114.2,462153,005,BIG ANNEMESSEX RIVER,,,,BIG ANNEMESSEX RIVER
BARCO0,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,COLBURN,,,-75.792625,38.060626,,93.86,379836,005,BIG ANNEMESSEX RIVER,,,,BIG ANNEMESSEX RIVER
BARDC0,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,DAUGHERTY CREEK,,,-75.844643,38.031465,,179.43,726143,005,BIG ANNEMESSEX RIVER,,,,BIG ANNEMESSEX RIVER
BARFW0,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,FORDS WHARF,,,-75.836087,38.066634,,385.96,1561933,005,BIG ANNEMESSEX RIVER,,,,BIG ANNEMESSEX RIVER
BARJC0,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,JONES CREEK,,,-75.833849,38.034766,,183.49,742566,005,BIG ANNEMESSEX RIVER,,,,BIG ANNEMESSEX RIVER
BARJI0,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,JACKSON ISLAND,,,-75.829624,38.046295,,652.04,2638723,005,BIG ANNEMESSEX RIVER,,,,BIG ANNEMESSEX RIVER
BARMB0,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,MOON BAY,,,-75.79723,38.068398,,118.97,481446,005,BIG ANNEMESSEX RIVER,,,,BIG ANNEMESSEX RIVER
BARMG0,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,MIDDLEGROUND,,,-75.807078,38.053759,,70.25,284294,005,BIG ANNEMESSEX RIVER,,,,BIG ANNEMESSEX RIVER
BARMI0,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,MILES,,,-75.782437,38.064897,,37.4,151354,005,BIG ANNEMESSEX RIVER,,,,BIG ANNEMESSEX RIVER
BARNR0,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,NICHOL'S MINI REEF,,,-75.796112,38.055555,,0.0012,,005,BIG ANNEMESSEX RIVER,Sanctuary,,,BIG ANNEMESSEX RIVER
BARRC0,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,RED CAP CREEK,,,-75.773807,38.07536,,109.4,442729,005,BIG ANNEMESSEX RIVER,,,,BIG ANNEMESSEX RIVER
BARSP0,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,SHARK POINT,,,-75.856237,38.060967,,249.11,1008108,005,BIG ANNEMESSEX RIVER,,,,BIG ANNEMESSEX RIVER
BARTP0,MD,SO,BIG ANNEMESSEX RIVER,BIGMH,TENTH POINT,,,-75.850653,38.038326,,191.78,776107,005,BIG ANNEMESSEX RIVER,,,,BIG ANNEMESSEX RIVER
BRCBM0,MD,TA,BROAD CREEK,CHOMH1,BROAD CREEK MIDDLEGROUND,,MIDDLEGROUND,-76.235943,38.7414,Y,193.45,782852,537,BROAD CREEK (CHOPTANK RIVER TRIBUTARY),,,,BROAD CREEK
BRCBP0,MD,TA,BROAD CREEK,CHOMH1,BRUSHY POINT,,,-76.259843,38.752403,Y,15,60690,537,BROAD CREEK (CHOPTANK RIVER TRIBUTARY),,,,BROAD CREEK
BRCBR0,MD,TA,BROAD CREEK,CHOMH1,BROWN,,PEANUT,-76.262183,38.725575,Y,215.65,872720,537,BROAD CREEK (CHOPTANK RIVER TRIBUTARY),,,,BROAD CREEK
BRCCO0,MD,TA,BROAD CREEK,CHOMH1,COOPERS POINT,,,-76.270561,38.742644,Y,34.14,138174,537,BROAD CREEK (CHOPTANK RIVER TRIBUTARY),,,,BROAD CREEK
BRCCP0,MD,TA,BROAD CREEK,CHOMH1,CEDAR POINT,,EDGE CREEK,-76.223594,38.741964,Y,140.3,567762,537,BROAD CREEK (CHOPTANK RIVER TRIBUTARY),,,,BROAD CREEK
BRCDN0,MD,TA,BROAD CREEK,CHOMH1,DEEP NECK,,"ICE HOUSE,PINEY POINT",-76.247963,38.733933,Y,512.23,2072902,537,BROAD CREEK (CHOPTANK RIVER TRIBUTARY),,Yes,Yes,BROAD CREEK
BRCDP0,MD,TA,BROAD CREEK,CHOMH1,DRUM POINT,,,-76.222839,38.74346,Y,200.67,812081,537,BROAD CREEK (CHOPTANK RIVER TRIBUTARY),,,,BROAD CREEK
BRCFO0,MD,TA,BROAD CREEK,CHOMH1,FOX,,"BACK CREEK,SAN DOMINGO CREEK",-76.226925,38.767436,Y,10.25,41471,537,BROAD CREEK (CHOPTANK RIVER TRIBUTARY),,,,BROAD CREEK
BRCGB0,MD,TA,BROAD CREEK,CHOMH1,GREAT BAR,,"GRAPE BAR,GRAPEVINE",-76.251236,38.714307,Y,495.63,2005733,537,BROAD CREEK (CHOPTANK RIVER TRIBUTARY),,,,BROAD CREEK
BRCHA0,MD,TA,BROAD CREEK,CHOMH1,HARRISON,,,-76.258154,38.778957,Y,4.06,16428,537,BROAD CREEK (CHOPTANK RIVER TRIBUTARY),,,,BROAD CREEK
BRCHP0,MD,TA,BROAD CREEK,CHOMH1,HOLLAND POINT,,,-76.253526,38.769683,Y,122.83,497074,537,BROAD CREEK (CHOPTANK RIVER TRIBUTARY),,,,BROAD CREEK
BRCHR0,MD,TA,BROAD CREEK,CHOMH1,HUGHES MINI REEF,,,-76.2208,38.750883,,0.0012,,537,BROAD CREEK (CHOPTANK RIVER TRIBUTARY),Sanctuary,,,BROAD CREEK
BRCIA0,MD,TA,BROAD CREEK,CHOMH1,IRISH CREEK ADDITION,ADDITION,,-76.227844,38.682852,,68.85,278637,137,CHOPTANK RIVER BELOW CASTLEHAVEN,,,,BROAD CREEK
BRCIC0,MD,TA,BROAD CREEK,CHOMH1,IRISH CREEK,,HORSE SHOE,-76.221766,38.680139,Y,734.88,2973953,137,CHOPTANK RIVER BELOW CASTLEHAVEN,,,,BROAD CREEK
BRCIC1,MD,TA,BROAD CREEK,CHOMH1,IRISH CREEK ADD 1,ADDITION 1,,-76.225205,38.667972,,136.62,552895,137,CHOPTANK RIVER BELOW CASTLEHAVEN,,,,BROAD CREEK
BRCJH0,MD,TA,BROAD CREEK,CHOMH1,JOE HARRIS FLATS,,,-76.213293,38.734845,Y,74.77,302573,537,BROAD CREEK (CHOPTANK RIVER TRIBUTARY),,,,BROAD CREEK
BRCJP0,MD,TA,BROAD CREEK,CHOMH1,JUDYS POINT,,LEADENHAM CREEK,-76.278505,38.742405,Y,15.39,62285,537,BROAD CREEK (CHOPTANK RIVER TRIBUTARY),,,,BROAD CREEK
