"","ID","NOAACode","cpntLongitude","cpntLatitude"
"1","BARBA0",5,-75.838512,38.055882
"2","BARBA1",5,-75.852561,38.044582
"3","BARCC0",5,-75.806269,38.060092
"4","BARCO0",5,-75.792625,38.060626
"5","BARDC0",5,-75.844643,38.031465
"6","BARFW0",5,-75.836087,38.066634
"7","BARJC0",5,-75.833849,38.034766
"8","BARJI0",5,-75.829624,38.046295
"9","BARMB0",5,-75.79723,38.068398
"10","BARMG0",5,-75.807078,38.053759
"11","BARMI0",5,-75.782437,38.064897
"12","BARNR0",5,-75.796112,38.055555
"13","BARRC0",5,-75.773807,38.07536
"14","BARSP0",5,-75.856237,38.060967
"15","BARTP0",5,-75.850653,38.038326
"16","BRCBM0",537,-76.235943,38.7414
"17","BRCBP0",537,-76.259843,38.752403
"18","BRCBR0",537,-76.262183,38.725575
"19","BRCCO0",537,-76.270561,38.742644
"20","BRCCP0",537,-76.223594,38.741964
"21","BRCDN0",537,-76.247963,38.733933
"22","BRCDP0",537,-76.222839,38.74346
"23","BRCFO0",537,-76.226925,38.767436
"24","BRCGB0",537,-76.251236,38.714307
"25","BRCHA0",537,-76.258154,38.778957
"26","BRCHP0",537,-76.253526,38.769683
"27","BRCHR0",537,-76.2208,38.750883
"28","BRCIA0",137,-76.227844,38.682852
"29","BRCIC0",137,-76.221766,38.680139
"30","BRCIC1",137,-76.225205,38.667972
"31","BRCJH0",537,-76.213293,38.734845
"32","BRCJP0",537,-76.278505,38.742405
"33","BRCLP0",137,-76.260011,38.705936
"34","BRCMP0",537,-76.249447,38.745213
"35","BRCPC0",537,-76.204794,38.735883
"36","BRCPO0",537,-76.262989,38.745189
"37","BRCRO0",137,-76.245194,38.685425
"38","BRCSI0",537,-76.266667,38.740304
"39","BRCUR0",537,-76.258048,38.782478
"40","BRCWF0",537,-76.23813,38.755693
"41","BRCWI0",537,-76.227254,38.754516
"42","BRCWP0",537,-76.258747,38.746458
"43","BRCYR0",537,-76.229833,38.769933
"44","DOSDR0",27,-76.4154,38.5576
"45","DOSJP0",27,-76.373994,38.54269
"46","DOSND0",129,-76.2775,38.300966
"47","DOSPI0",27,-76.316053,38.421383
"48","DOSSP0",129,-76.28023,38.341188
"49","DOSTR0",27,-76.361444,38.491416
"50","EBNBE0",39,-76.23549,38.899655
"51","EBNBE1",39,-76.238908,38.889945
"52","EBNBE2",39,-76.248292,38.897957
"53","EBNBE3",39,-76.237945,38.911667
"54","EBNBG0",39,-76.221222,38.882164
"55","EBNBH0",39,-76.329572,38.885112
"56","EBNBI0",39,-76.2529,38.931435
"57","EBNBN0",39,-76.318465,38.903939
"58","EBNBO0",39,-76.275698,38.905097
"59","EBNBR0",39,-76.321394,38.883458
"60","EBNBS0",39,-76.297398,38.879849
"61","EBNBS1",39,-76.280143,38.886137
"62","EBNBU0",39,-76.24987,38.96476
"63","EBNCA0",39,-76.273167,38.925542
"64","EBNCC0",39,-76.221486,38.935351
"65","EBNCI0",39,-76.288533,38.920772
"66","EBNCN0",39,-76.286597,38.908805
"67","EBNCO0",39,-76.28595,38.944417
"68","EBNDO0",39,-76.24982,38.936072
"69","EBNES0",39,-76.310444,38.912817
"70","EBNGC0",39,-76.339013,38.910519
"71","EBNGW0",39,-76.20265,38.888061
"72","EBNHB0",39,-76.220889,38.94549
"73","EBNHI0",39,-76.247375,38.959035
"74","EBNHN0",39,-76.348435,38.84756
"75","EBNHO0",39,-76.232239,38.929539
"76","EBNHR0",39,-76.220889,38.94549
"77","EBNIC0",39,-76.322407,38.944564
"78","EBNJH0",39,-76.314267,38.928873
"79","EBNJI0",39,-76.278611,38.928979
"80","EBNLP0",39,-76.325462,38.867177
"81","EBNMA0",39,-76.331189,38.911995
"82","EBNMB0",39,-76.30409,38.893863
"83","EBNMH0",39,-76.218038,38.901616
"84","EBNNF0",39,-76.267037,38.911529
"85","EBNNM0",39,-76.244037,38.92575
"86","EBNNM1",39,-76.242786,38.917985
"87","EBNPC0",39,-76.309367,38.93305
"88","EBNPH0",39,-76.308527,38.919515
"89","EBNPI0",39,-76.262796,38.901805
"90","EBNPM0",39,-76.314209,38.937463
"91","EBNPN0",39,-76.24558,38.917231
"92","EBNPN1",39,-76.254733,38.91639
"93","EBNPP0",39,-76.205308,38.882811
"94","EBNPR0",39,-76.240894,38.946455
"95","EBNPT0",39,-76.332321,38.895422
"96","EBNRM0",39,-76.309139,38.904139
"97","EBNRN0",39,-76.287687,38.864462
"98","EBNRO0",39,-76.309565,38.94406
"99","EBNSC0",39,-76.330647,38.9051
