"Parameter","Cruise","Layer","count_main","count_west","count_east"
"SALINITY","BAY073","S ",21,23,14
"SALINITY","BAY074","S ",19,10,13
"SALINITY","BAY075","S ",13,23,8
"SALINITY","BAY076","S ",22,24,12
"SALINITY","BAY077","S ",19,19,8
"SALINITY","BAY078","S ",22,24,11
"SALINITY","BAY079","S ",19,19,11
"SALINITY","BAY080","S ",21,23,9
"SALINITY","BAY081","S ",20,19,13
"SALINITY","BAY082","S ",19,24,9
"SALINITY","BAY083","S ",22,19,12
"SALINITY","BAY084","S ",22,18,9
"SALINITY","BAY085","S ",19,19,13
"SALINITY","BAY086","S ",19,24,9
"SALINITY","BAY087","S ",22,19,13
"SALINITY","BAY088","S ",22,24,9
"SALINITY","BAY089","S ",19,19,13
"SALINITY","BAY090","S ",14,24,14
"SALINITY","BAY091","S ",14,24,14
"SALINITY","BAY092","S ",14,24,14
"SALINITY","BAY093","S ",14,24,14
"SALINITY","BAY095","S ",22,24,9
"SALINITY","BAY096","S ",22,24,14
"SALINITY","BAY097","S ",19,19,8
"SALINITY","BAY098","S ",22,24,14
"SALINITY","BAY099","S ",19,8,8
"SALINITY","BAY100","S ",22,24,14
"SALINITY","BAY101","S ",19,23,8
"SALINITY","BAY102","S ",19,24,12
"SALINITY","BAY103","S ",22,19,10
"SALINITY","BAY104","S ",19,19,7
"SALINITY","BAY105","S ",22,22,13
"SALINITY","BAY106","S ",22,24,14
"SALINITY","BAY107","S ",10,12,8
"SALINITY","BAY108","S ",21,12,9
"SALINITY","BAY109","S ",19,24,13
"SALINITY","BAY110","S ",14,24,12
"SALINITY","BAY111","S ",11,18,8
"SALINITY","BAY112","S ",14,24,14
"SALINITY","BAY113","S ",14,24,14
"SALINITY","BAY114","S ",19,24,14
"SALINITY","BAY115","S ",22,19,8
"SALINITY","BAY116","S ",18,24,14
"SALINITY","BAY117","S ",22,19,8
"SALINITY","BAY118","S ",19,19,4
"SALINITY","BAY119","S ",22,23,14
"SALINITY","BAY120","S ",22,23,14
"SALINITY","BAY121","S ",19,19,8
"SALINITY","BAY122","S ",19,19,4
"SALINITY","BAY123","S ",22,24,14
"SALINITY","BAY124","S ",19,24,11
"SALINITY","BAY125","S ",22,19,11
"SALINITY","BAY126","S ",22,24,14
"SALINITY","BAY127","S ",19,19,8
"SALINITY","BAY128","S ",18,18,0
"SALINITY","BAY129","S ",22,22,14
"SALINITY","BAY130","S ",14,23,14
"SALINITY","BAY131","S ",14,23,14
"SALINITY","BAY132","S ",14,23,14
"SALINITY","BAY133","S ",14,23,13
"SALINITY","BAY134","S ",19,23,9
"SALINITY","BAY135","S ",22,17,13
"SALINITY","BAY136","S ",21,23,14
"SALINITY","BAY137","S ",20,18,8
"SALINITY","BAY138","S ",22,23,14
"SALINITY","BAY139","S ",19,18,8
