"cruise","min_date","max_date","year"
"BAY073","02/08/1988","02/25/1988",1988
"BAY074","03/07/1988","03/23/1988",1988
"BAY075","03/16/1988","03/30/1988",1988
"BAY076","04/04/1988","04/14/1988",1988
"BAY077","04/18/1988","04/27/1988",1988
"BAY078","05/02/1988","05/12/1988",1988
"BAY079","05/16/1988","05/31/1988",1988
"BAY080","06/01/1988","06/14/1988",1988
"BAY081","06/15/1988","06/30/1988",1988
"BAY082","07/05/1988","07/13/1988",1988
"BAY083","07/18/1988","07/26/1988",1988
"BAY084","08/01/1988","08/15/1988",1988
"BAY085","08/16/1988","08/31/1988",1988
"BAY086","09/01/1988","09/13/1988",1988
"BAY087","09/14/1988","09/29/1988",1988
"BAY088","10/03/1988","10/13/1988",1988
"BAY089","10/17/1988","10/27/1988",1988
"BAY090","11/03/1988","11/29/1988",1988
"BAY091","12/03/1988","12/29/1988",1988
"BAY092","01/09/1989","01/26/1989",1989
"BAY093","02/06/1989","02/28/1989",1989
"BAY095","03/20/1989","03/29/1989",1989
"BAY096","04/03/1989","04/13/1989",1989
"BAY097","04/17/1989","04/29/1989",1989
"BAY098","05/01/1989","05/15/1989",1989
"BAY099","05/15/1989","05/23/1989",1989
"BAY100","06/05/1989","06/15/1989",1989
"BAY101","06/19/1989","06/29/1989",1989
"BAY102","07/05/1989","07/17/1989",1989
"BAY103","07/18/1989","07/31/1989",1989
"BAY104","08/01/1989","08/16/1989",1989
"BAY105","08/16/1989","08/30/1989",1989
"BAY106","09/05/1989","09/14/1989",1989
"BAY107","09/18/1989","09/28/1989",1989
"BAY108","10/02/1989","10/13/1989",1989
"BAY109","10/16/1989","10/31/1989",1989
"BAY110","11/01/1989","11/28/1989",1989
"BAY111","12/05/1989","12/22/1989",1989
"BAY112","01/08/1990","01/23/1990",1990
"BAY113","02/05/1990","02/21/1990",1990
"BAY114","03/05/1990","03/14/1990",1990
"BAY115","03/19/1990","03/29/1990",1990
"BAY116","04/02/1990","04/13/1990",1990
"BAY117","04/16/1990","04/26/1990",1990
"BAY118","05/07/1990","05/16/1990",1990
"BAY119","05/16/1990","06/01/1990",1990
"BAY120","06/04/1990","06/14/1990",1990
"BAY121","06/18/1990","06/27/1990",1990
"BAY122","07/08/1990","07/18/1990",1990
"BAY123","07/18/1990","08/01/1990",1990
"BAY124","08/01/1990","08/15/1990",1990
"BAY125","08/16/1990","08/29/1990",1990
"BAY126","09/04/1990","09/14/1990",1990
"BAY127","09/19/1990","09/27/1990",1990
"BAY128","10/04/1990","10/17/1990",1990
"BAY129","10/16/1990","10/31/1990",1990
"BAY130","11/05/1990","11/26/1990",1990
"BAY131","12/06/1990","12/31/1990",1990
"BAY132","01/02/1991","01/21/1991",1991
"BAY133","02/11/1991","02/25/1991",1991
"BAY134","03/04/1991","03/14/1991",1991
"BAY135","03/18/1991","03/27/1991",1991
"BAY136","04/01/1991","04/15/1991",1991
"BAY137","04/16/1991","04/30/1991",1991
"BAY138","05/01/1991","05/15/1991",1991
"BAY139","05/16/1991","05/28/1991",1991
"BAY140","06/03/1991","06/13/1991",1991
"BAY141","06/17/1991","06/27/1991",1991
"BAY142","07/08/1991","07/15/1991",1991
"BAY143","07/16/1991","07/31/1991",1991
"BAY144","08/05/1991","08/13/1991",1991
"BAY145","08/19/1991","08/27/1991",1991
"BAY146","09/03/1991","09/12/1991",1991
"BAY147","09/16/1991","10/03/1991",1991
"BAY148","10/01/1991","10/18/1991",1991
"BAY149","10/15/1991","10/28/1991",1991
"BAY150","11/04/1991","11/18/1991",1991
"BAY151","12/02/1991","12/12/1991",1991
"BAY152","01/06/1992","01/24/1992",1992
"BAY153","02/04/1992","02/27/1992",1992
"BAY154","03/05/1992","03/19/1992",1992
"BAY155","03/17/1992","04/01/1992",1992
"BAY156","04/01/1992","04/16/1992",1992
"BAY157","04/16/1992","04/29/1992",1992
"BAY158","05/04/1992","05/14/1992",1992
"BAY159","05/18/1992","05/28/1992",1992
"BAY160","06/02/1992","06/15/1992",1992
"BAY161","06/16/1992","06/30/1992",1992
"BAY162","06/30/1992","07/16/1992",1992
"BAY163","07/20/1992","07/30/1992",1992
"BAY164","08/10/1992","08/13/1992",1992
"BAY165","08/17/1992","08/31/1992",1992
"BAY166","09/01/1992","09/15/1992",1992
"BAY167","09/21/1992","09/30/1992",1992
"BAY168","10/01/1992","10/14/1992",1992
"BAY169","10/19/1992","11/02/1992",1992
"BAY170","11/12/1992","11/24/1992",1992
"BAY171","12/07/1992","12/17/1992",1992
"BAY172","01/04/1993","01/19/1993",1993
"BAY173","02/08/1993","02/22/1993",1993
"BAY174","03/08/1993","03/12/1993",1993
"BAY175","03/16/1993","03/31/1993",1993
"BAY176","04/05/1993","04/16/1993",1993
"BAY177","04/19/1993","04/30/1993",1993
"BAY178","05/05/1993","05/13/1993",1993
"BAY179","05/18/1993","05/27/1993",1993
"BAY180","06/02/1993","06/16/1993",1993
"BAY181","06/16/1993","06/30/1993",1993
"BAY182","07/06/1993","07/15/1993",1993
"BAY183","07/19/1993","07/28/1993",1993
"BAY184","08/02/1993","08/12/1993",1993
"BAY185","08/16/1993","08/25/1993",1993
"BAY186","09/02/1993","09/15/1993",1993
"BAY187","09/16/1993","09/29/1993",1993
"BAY188","10/04/1993","10/15/1993",1993
"BAY189","10/18/1993","10/28/1993",1993
"BAY190","11/15/1993","11/30/1993",1993
"BAY191","12/01/1993","12/17/1993",1993
"BAY192","01/03/1994","01/26/1994",1994
"BAY194","03/07/1994","03/15/1994",1994
"BAY195","03/16/1994","03/30/1994",1994
"BAY196","04/04/1994","04/14/1994",1994
"BAY197","04/18/1994","04/26/1994",1994
